Suburb,Address,Rooms,Type,Price,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
Abbotsford,85 Turner St,2,h,1480000.0,3/12/2016,3067.0,2.0,1.0,1.0,202.0,,,Yarra,-37.7996,144.9984,Northern Metropolitan
Abbotsford,25 Bloomburg St,2,h,1035000.0,4/02/2016,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan
Abbotsford,129 Charles St,2,h,941000.0,7/05/2016,3067.0,2.0,1.0,0.0,181.0,,,Yarra,-37.8041,144.9953,Northern Metropolitan
Abbotsford,124 Yarra St,3,h,1876000.0,7/05/2016,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan
Abbotsford,98 Charles St,2,h,1636000.0,8/10/2016,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan
Abbotsford,6/241 Nicholson St,1,u,300000.0,8/10/2016,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-37.8008,144.9973,Northern Metropolitan
Abbotsford,10 Valiant St,2,h,1097000.0,8/10/2016,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan
Abbotsford,123/56 Nicholson St,2,u,750000.0,12/11/2016,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan
Abbotsford,45 William St,2,h,1172500.0,13/08/2016,3067.0,2.0,1.0,1.0,195.0,,,Yarra,-37.8084,144.9973,Northern Metropolitan
Abbotsford,16 William St,2,h,1310000.0,15/10/2016,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan
Abbotsford,42 Henry St,3,h,1200000.0,16/07/2016,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan
Abbotsford,78 Yarra St,3,h,1176500.0,16/07/2016,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,Northern Metropolitan
Abbotsford,196 Nicholson St,3,h,955000.0,17/09/2016,3067.0,3.0,1.0,0.0,183.0,,,Yarra,-37.8022,144.9975,Northern Metropolitan
Abbotsford,42 Valiant St,2,h,890000.0,17/09/2016,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan
Abbotsford,13/11 Nicholson St,3,t,900000.0,18/03/2017,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan
Abbotsford,138/56 Nicholson St,3,u,1090000.0,18/03/2017,3067.0,3.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,Northern Metropolitan
Abbotsford,6/219 Nicholson St,2,u,500000.0,18/06/2016,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan
Abbotsford,49 Park St,2,h,1315000.0,19/11/2016,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan
Abbotsford,116/56 Nicholson St,1,u,457000.0,22/08/2016,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,Northern Metropolitan
Abbotsford,159 Park St,2,h,1135000.0,22/08/2016,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan
Abbotsford,31 Turner St,4,h,1542000.0,24/09/2016,3067.0,4.0,3.0,1.0,0.0,,,Yarra,-37.7994,144.9965,Northern Metropolitan
Abbotsford,166 Gipps St,3,h,1290000.0,25/02/2017,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,Northern Metropolitan
Abbotsford,60 Stafford St,3,h,1290000.0,25/02/2017,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan
Abbotsford,11/205 Gipps St,1,u,470000.0,26/07/2016,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan
Abbotsford,47 Studley St,2,h,1180000.0,27/11/2016,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan
Abbotsford,200 Nicholson St,2,h,1012500.0,28/05/2016,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan
Abbotsford,27 Charles St,2,h,1030000.0,30/07/2016,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan
Airport West,23 Hart St,2,h,603000.0,4/03/2017,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan
Airport West,1/80 Hawker St,3,t,700000.0,4/03/2017,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan
Airport West,1/37 Hillside Gr,3,h,600000.0,4/03/2017,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan
Airport West,54 Marshall Rd,3,h,720000.0,6/08/2016,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan
Airport West,36 Roberts Rd,4,h,785000.0,6/08/2016,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,Western Metropolitan
Airport West,2/252 Parer Rd,2,t,450000.0,7/05/2016,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan
Airport West,3/19 Hart St,2,u,515000.0,7/11/2016,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan
Airport West,2/62 Clydesdale Rd,2,u,530000.0,10/09/2016,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan
Airport West,13 Etzel St,3,h,805000.0,10/12/2016,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan
Airport West,1/43 Cameron St,3,u,752000.0,11/02/2017,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan
Airport West,145a Victory Rd,2,u,440000.0,13/08/2016,3042.0,2.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,Western Metropolitan
Airport West,180 Parer Rd,3,h,830000.0,16/04/2016,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan
Airport West,4/54 Hawker St,2,u,462500.0,16/07/2016,3042.0,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan
Airport West,174 Parer Rd,2,h,675000.0,16/07/2016,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan
Airport West,138 Victory Rd,3,h,1042000.0,16/07/2016,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan
Airport West,75 King St,3,h,910000.0,17/09/2016,3042.0,3.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,Western Metropolitan
Airport West,6 Kittyhawk St,4,h,773000.0,17/09/2016,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan
Airport West,144 Marshall Rd,3,h,715000.0,18/03/2017,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan
Airport West,106 Parer Rd,3,h,790000.0,18/03/2017,3042.0,3.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan
Airport West,10 Hilbert Rd,3,h,685000.0,22/05/2016,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan
Airport West,110 Halsey Rd,3,h,805000.0,22/08/2016,3042.0,3.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,Western Metropolitan
Airport West,2/13 North St,2,u,510000.0,22/08/2016,3042.0,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,Western Metropolitan
Airport West,105a Victory Rd,3,h,612000.0,22/08/2016,3042.0,3.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,Western Metropolitan
Airport West,117 Marshall Rd,3,h,662000.0,23/04/2016,3042.0,3.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,Western Metropolitan
Airport West,34 Moorna Dr,4,h,978000.0,24/09/2016,3042.0,4.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,Western Metropolitan
Airport West,49 Roberts Rd,4,h,765000.0,27/11/2016,3042.0,4.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,Western Metropolitan
Airport West,85 Roberts Rd,4,h,900000.0,27/11/2016,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan
Albert Park,105 Kerferd Rd,2,h,1275000.0,3/09/2016,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan
Albert Park,85 Richardson St,2,h,1455000.0,3/09/2016,3206.0,2.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,Southern Metropolitan
Albert Park,94 Graham St,3,h,1850000.0,4/03/2017,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan
Albert Park,396 Montague St,2,h,1436000.0,4/03/2017,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan
Albert Park,75 Graham St,2,h,1110000.0,6/08/2016,3206.0,1.0,1.0,0.0,147.0,,1900.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan
Albert Park,54 Brooke St,2,h,1550000.0,7/05/2016,3206.0,2.0,1.0,1.0,167.0,,,Port Phillip,-37.8405,144.9521,Southern Metropolitan
Albert Park,104 Richardson St,4,h,2300000.0,7/05/2016,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan
Albert Park,29 Faussett St,2,h,2120000.0,10/09/2016,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan
Albert Park,24 Kerferd Pl,3,h,1800000.0,10/09/2016,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan
Albert Park,2 Dundas Pl,3,h,2615000.0,10/12/2016,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan
Albert Park,23 Finlay St,5,h,2100000.0,10/12/2016,3206.0,5.0,2.0,1.0,237.0,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan
Albert Park,31 Richardson St,3,h,1300000.0,10/12/2016,3206.0,3.0,1.0,0.0,129.0,,,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan
Albert Park,4a Gatehouse La,3,h,1370000.0,12/06/2016,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan
Albert Park,60 Brooke St,2,h,1000000.0,12/11/2016,3206.0,2.0,1.0,0.0,288.0,,,Port Phillip,-37.8407,144.9523,Southern Metropolitan
Albert Park,70 Barrett St,3,h,2575000.0,15/10/2016,3206.0,3.0,2.0,1.0,228.0,,,Port Phillip,-37.8445,144.9501,Southern Metropolitan
Albert Park,65 Graham St,2,h,1322500.0,15/10/2016,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan
Albert Park,364 Montague St,2,h,1562500.0,15/10/2016,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan
Albert Park,129 Kerferd Rd,3,h,1900000.0,18/03/2017,3206.0,3.0,1.0,0.0,209.0,,1900.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan
Albert Park,97 Page St,3,h,3010000.0,18/03/2017,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan
Albert Park,10/140 Kerferd Rd,2,u,647000.0,22/05/2016,3206.0,2.0,1.0,1.0,0.0,,,Port Phillip,-37.846,144.9542,Southern Metropolitan
Albert Park,13/52 Moubray St,1,u,442500.0,25/02/2017,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan
Albert Park,115 Page St,4,h,4735000.0,25/02/2017,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan
Albert Park,32 Page St,2,h,1340000.0,25/02/2017,3206.0,2.0,1.0,0.0,136.0,,,Port Phillip,-37.846,144.9517,Southern Metropolitan
Albert Park,34 Richardson St,3,h,1801000.0,25/02/2017,3206.0,3.0,1.0,1.0,202.0,,,Port Phillip,-37.8429,144.9493,Southern Metropolitan
Albert Park,2b Dundas Pl,3,h,1532000.0,26/07/2016,3206.0,3.0,3.0,1.0,0.0,,,Port Phillip,-37.8415,144.9585,Southern Metropolitan
Albert Park,22 Greig St,3,h,3755000.0,26/07/2016,3206.0,3.0,2.0,2.0,325.0,,,Port Phillip,-37.8413,144.95,Southern Metropolitan
Albert Park,27 Barrett St,4,h,2140000.0,27/06/2016,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan
Albert Park,44 Greig St,2,h,1750000.0,27/11/2016,3206.0,2.0,1.0,1.0,162.0,,,Port Phillip,-37.8416,144.9488,Southern Metropolitan
Albert Park,6 Brooke St,2,h,980000.0,28/05/2016,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan
Albert Park,227a Danks St,3,h,2030000.0,28/08/2016,3206.0,3.0,2.0,0.0,152.0,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan
Albert Park,9 Durham St,1,h,985000.0,30/07/2016,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan
Alphington,6 Smith St,4,h,2000000.0,3/09/2016,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan
Alphington,5/6 Yarralea St,3,h,1110000.0,3/09/2016,3078.0,3.0,2.0,2.0,208.0,,2013.0,Yarra,-37.7854,145.0325,Northern Metropolitan
Alphington,136A Fulham Rd,3,h,1492000.0,4/03/2017,3078.0,3.0,2.0,2.0,411.0,,,Darebin,-37.7713,145.0279,Northern Metropolitan
Alphington,44 Shiers St,4,h,1717500.0,8/10/2016,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan
Alphington,83 Fulham Rd,5,h,2840000.0,12/06/2016,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan
Alphington,3/19 Harker St,2,u,525500.0,12/11/2016,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan
Alphington,4/2 Miller St,2,t,805000.0,12/11/2016,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan
Alphington,2/5 Yarana Rd,2,u,465000.0,12/11/2016,3078.0,2.0,1.0,1.0,0.0,,,Darebin,-37.7773,145.0314,Northern Metropolitan
Alphington,44 Naroon Rd,3,h,1540000.0,16/04/2016,3078.0,3.0,1.0,2.0,592.0,,,Darebin,-37.7755,145.0288,Northern Metropolitan
Alphington,3/98 Grange Rd,2,u,820000.0,18/03/2017,3078.0,2.0,1.0,1.0,183.0,,,Darebin,-37.7747,145.0264,Northern Metropolitan
Alphington,10 Bennett St,4,h,1830000.0,19/11/2016,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan
Alphington,38 Bennett St,4,h,2100000.0,19/11/2016,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan
Alphington,1/14 Fulham Rd,2,u,512000.0,25/02/2017,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern Metropolitan
Alphington,22 Lowther St,3,h,1165000.0,27/06/2016,3078.0,3.0,1.0,2.0,979.0,,,Yarra,-37.7792,145.029,Northern Metropolitan
Alphington,42 Shiers St,4,h,1950000.0,30/07/2016,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan
Altona,59 Bracken Gr,5,h,1525000.0,3/12/2016,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan
Altona,1/123 Blyth St,2,t,720000.0,4/02/2016,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan
Altona,4 Blyth St,3,h,1120000.0,4/03/2017,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan
Altona,1/170 Blyth St,3,u,630000.0,6/08/2016,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan
